bdb_id	strongs	headword	type	entry
a.ac.ad		אֲבַדֹּה		אֲבַדֹּה אֲבַדּוֹ cf. אבדון infr.
a.ac.ae	H0012	אַבְדָ֑ן		אַבְדָ֑ן, & אׇבְדַן (cstr.) n.[m.] destruction (Syr. Syriac) Est 9:5 (מַכַּת־חֶרֶב וְהֶרֶג וְא׳), 8:8; (on form v. BeRy; Ol § 215 b.1 Ba NB 49, 487).
a.ac.af	H0010	אֲבַדּוֹן		אֲבַדּוֹן n.f. ? Pr 27:20 abstr. nearly = n.pr. (place of) Destruction, Ruin, ’Abaddôn (cf. Syriac 𝔖 Jb 28:22 etc.)—אֲבַדּֽוֹן Jb 26:6 (+ 4 t.); abbrev. אבדה Kt אֲבַדּֽוֹ Qr Pr 27:20.—Place of ruin in Shᵉʼôl for lost or ruined dead, as development of earlier distinction of condition in Shᵉʼôl (v. שְׁאוֹל). Only in WisdLt; Jb 31:12; ∥ שׁאול Jb 26:6 Pr 15:11 27:20; ∥ מות Jb 28:22; ∥ קבר ψ 88:12.
a.ad.aa	H0014	אָבָה	root	אָבָה vb. be willing, consent (cf. As. abîtu, command, Dl W, Eth. Ethiopic use, Ar. Arabic, id., Nejd be willing So De Jes 3, p. 26; LCB 1880, 817)— Qal (c. לֹא, אַל exc. Is 1:19 Jb 39:9; in Hex. rare & Only JED, incl. Lv 26:21); Pf. אָבָה Ex 10:27 + אָבוּ Ju 19:25 + 7 t.; אָבוּא Is 28:12 (Sta § 31 R.2; Kö I, 414); Impf. יֹאבֶה Dt 29:19 + 2 t.; 2 ms. juss. תֹּבֵֽא Pr 1:10 (Sta § 143 e 1 nn; Kö I, 578 f) etc.; Pt. אֹבִים Ez 3:7;—be willing, sq. Inf. with ל Ex 10:27 + 29 t.; without ל Dt 2:30 + 8 t.; subj. י׳ Dt 10:10 23:6 29:19 Jos 24:10 2 K 8:19 13:23 24:4 2 Ch 21:7; human subj. Gn 24:5, 8 Ju 19:10 2 S 2:21 13:2514:29, 29 23:16, 17 = 1 Ch 11:18, 19 1 Ch 19:19; in bad sense Ex 10:27 Dt 2:30 25:7 Ju 19:25 20:13 2 S 13:14, 16;esp. of perverse Isr. Lv 26:21 Dt 1:26 I S 15:9 Is 28:12 30:9 42:24 Ez 3:7, 7 20:8; subj. animal, רֵּים Jb 39:9; abs. (no Inf.) 2 S 12:17 1 K 20:8 22:50; cf. Pr 6:35, of jealous man; bad sense Ju 11:17 Is 30:15; good sense I S 22:17 26:23 31:4 = 1 Ch 10:4 2 S 6:10 Pr 1:10; + vb. fin. Is 1:19 (אִם תֹּאבוּ וּשְׁמַעְתֶּם); consent, yield to, sq. לַעֲצָתִי Pr 1:30; sq. acc. תוֹכַחְתִּי v 25 (all in bad sense).
a.ad.ab	H0034	אֶבְיוֹן		אֶבְיוֹן adj. in want, needy, poor,—so, alw. abs., Dt 15:4 + 40 t.; אֶבְיֹנְךָ Ex 23:6 Dt 15:11; אֶבְיוֹנִים Am 4:1 + 14 t.; אֶבְיוֹנֵי (אֶבְיֹנֵי) Ex 23:11 Is 29:19; אֶבְיוֹנֶיהָ ψ 132:15—(Hex. only JED; mostly poet., 23 t. ψ) needy, chiefly poor (in material things); as adj. Dt 15:7, 7, 9; 24:14 ψ 109:16 (both ∥ עָנִי); elsewhere subst.; ψ 49:3 (∥ עָשִׁיר); Dt 15:4, 11; subj. to oppression & abuse Am 2:6 5:12 (both ∥ צַדִּיק) 4:1 8:6 (all ∥ דַּל) Is 32:7; Am 8:4 Ez 16:49 18:12 22:29 ψ 37:14 Jb 24:4, 14 Pr 30:14—cf. ψ 109:16 supr.—(all ∥ עָנִי) Je 5:28 (∥ יָתוֹם) 2:34; cared for by good Jb 29:16 30:25 (∥ קְשֵׁה־יוֹם) 31:19 ψ 112:9 Est 9:22; Pr 14:31 (∥ דָּל) 31:20 Je 22:16 (∥ עָנִי); care of them enjoined, negatively Ex 23:6;—cf. Dt 24:14 supr.—positively Ex 23:11 Dt 15:11 Pr 31:9 (both ∥ עָנִי)—cf. Dt 15:7, 7, 9 supr.—ψ 82:4 (∥ דַל); cared for by God Je 20:13 ψ 107:41 132:15 Jb 5:15; I S 2:8 = ψ 113:7 Is 14:30 (all ∥ דַּל) ψ 35:10 140:13 (both ∥ עָנִי), cf. Davidic king ψ 72:12 (∥ עָנִי) = v 4 בְנֵי אֶבְ׳ (∥ id.), v 13, 13 (∥ דַּל); needing help, deliverance from trouble, esp. as delivered by God ψ 9:19 12:6 40:18 = 70:6 74:21 86:1 109:22 Is 29:19 41:17 (all ∥ עָנִי) Is 25:4 (∥ דַּל) ψ 69:34 109:31.
a.ad.ac	H0035	אֲבִיּוֹנָה		אֲבִיּוֹנָה n.f. caper-berry (as stimulating desire) Ec 12:5 (v. GFM JBL 1891, 55 ff.; so 𝔊 𝔙, Mish. אביונות, cf. NHWB; v. also 𝔖; i.e. capparis spinosa, cf. Ri HWB; so Thes, Ew De, etc.; but Wetzst in De (Germ. ed. 1875) proposes אֶבְיוֹנָה (as fem. of אביון) the poor soul in sense = נִשְׁמָתוֹ הָאֶבְיוֹנָה cf. Symm 𝔖, where double translation).
a.ad.ad	H0016	אֵ֫בֶה		אֵ֫בֶה n.[m.] reed, papyrus Jb 9:26
a.ae.aa		אבה	root	אבה (perh. at least formally justified as stem of אָב (cstr. אֲבִי), so Thea (cf. infr.), but existence & mng. wholly dub.; as real √ Ba ZMG 1887. 609 ff. Ol §123c; acc . to DlW p. 22 אבה As. abû = decide, אָב = he who decides; Thes (so RobGes Nö ZMGxl,737 & cf. Sta §186 al.) makes אָב nom. prim. bilit., imitating infant's speech cf. πάππας, pappa, papa (cf. EWI §106a); also As. bab Jen ZAI886.404).
a.ae.ab	H0001	אָב		אָב 1101 n.m. father father of individual of God as father of his people head of household, family or clan ancestor originator or patron of a class, profession, or art fig. of producer, generator fig. of benevolence & protection term of respect & honor specif., ruler, chief (late)
a.ae.ac	H0045	אֲבִי־עַלְבוֹן		אֲבִי־עַלְבוֹן n.pr.m. a hero of David
a.ae.ad	H0022	אֲבִיאֵל		אֲבִיאֵל n.pr.m. (Ēl is (my) father) Saul’s grandfather = foregoing
a.ae.ae	H0023	אֲבִיאָסָף		אֲבִיאָסָף n.pr.m. (my father has gathered) son (descendant) of Korah Ex 6:24, Sam. אביסף, so אֶבְיָסָף 1 Ch 6:8, 22 9:19 (cf. Nes Eg 185).
a.ae.af	H0026	אֲבִיגַ֫יִל		אֲבִיגַ֫יִל n.pr.f. (my father is joy (?)) wife of Nabal, then of David sister of David
a.ae.ag	H0027	אֲבִידָן		אֲבִידָן n.pr.m. (my father is judge) a prince of Benj.
a.ae.ah	H0028	אֲבִידָע		אֲבִידָע n.pr.m. (my father took knowledge) a son of Midian
a.ae.ai	H0021	אֲבִיָּ֫הוּ		אֲבִיָּ֫הוּ n.pr.m. & f. (Yah(u) is (my) father)—so † 2 Ch 13:20, 21 = אֲבִיָּם † 1 K 14:31 15:1, 7, 7, 8 (𝔊 Ἀβιου, Ἀβια); = אֲבִי † 2 K 18:2 (𝔊 Ἀβου, Ἀβουθ); = אֲבִיָּה 1 S 8:2 22 t.— king of Judah, son & successor of Rehoboam 2nd son of Samuel son of Jerob. son of Becher, a Benjamite head of a priestly house id. wife of Hezron mother of Hezekiah
a.ae.aj	H0030	אֲבִיהוּא		אֲבִיהוּא n.pr.m. (he is father) a son of Aaron
a.ae.ak	H0031	אֲבִיהוּד		אֲבִיהוּד n.pr.m. (my father is majesty) son of Bela, a Benjamite
a.ae.al	H0032	אֲבִיחַ֫יִל		אֲבִיחַ֫יִל n.pr.m. & f. (my father is might)—prob. = אֲבִיהַיִל a Levite a Gadite father of Esther wife of Abishur wife of Rehoboam
a.ae.am	H0036	אֲבִיטוּב		אֲבִיטוּב n.pr.m. (my father is goodness) son of Shaharaim, a Benjamite 1 Ch 8:11.
a.ae.an	H0037	אֲבִיטָ֑ל		אֲבִיטָ֑ל n.pr.f. (my father is (the) dew) a wife of David 2 S 3:4 1 Ch 3:3.
a.ae.ao	H0039	אֲבִימָאֵל		אֲבִימָאֵל n.pr.m. (a father is Ēl; South-Arab. name) son of Jokatan
a.ae.ap	H0040	אֲבִימֶ֫לֶךְ		אֲבִימֶ֫לֶךְ n.pr.m. (Melek (= Malik, Molech) is father) king of Gerar king of Gath son of Gideon priest, son of Abiathar
a.ae.aq	H0041	אֲבִינָדָב		אֲבִינָדָב n.pr.m. (my father is noble) a man of Gibeah, in whose house the ark tarried a son of Jesse a son of Saul
a.ae.ar	H0042	אֲבִינֹ֫עַם		אֲבִינֹ֫עַם n.pr.m. (my father is delight) father of Barak
a.ae.as	H0074	אֲבִינֵר		אֲבִינֵר n.pr.m. (my father is Nêr, or is a lamp)—cousin of Saul, and captain of host
a.ae.at	H0044	אֲבִיעֶ֫זֶר		אֲבִיעֶ֫זֶר n.pr.m. (my father is help)—= אִיעֶזֶר Nu 26:30— a Manassite, called ‘son’ of Gilead a Benjamite, a warrior of David
a.ae.au	H0033	אֲבִי הָעֶזְרִי		אֲבִי הָעֶזְרִי adj.gent. Abiezrite Ju 6:11, 24 8:52 = אִיעֶזְרִי Nu 26:30.
a.ae.av	H0048	אֲבִירָם		אֲבִירָם n.pr.m. ((the) Exalted One is (my) father) a Reubenite, son of Eliab son of Hiel the Bethelite
a.ae.aw	H0085	אַבְרָם		אַבְרָם n.pr.m. (id., Thes al. exalted father) Abram = אַבְרָהָם Abraham
a.ae.ax	H0049	אֲבִישַׁג		אֲבִישַׁג n.pr.f. (my father is a wanderer (שׁגג) ?) a handmaid of David
a.ae.ay	H0050	אֲבִישׁוּעַ		אֲבִישׁוּעַ n.pr.m. (my father is rescue, or is opulence) a son of Phinehas a Benjamite, son of Bela
a.ae.az	H0051	אֲבִישׁוּר		אֲבִישׁוּר n.pr.m. (my father is a wall) son of Shammai
a.ae.ba	H0052	אֲבִישַׁי		אֲבִישַׁי n.pr.m. (my father is Jesse)—grandson of Jesse; son of Zeruiah & brother of Joab
a.ae.bb	H0053	אֲבִישָׁלוֹם		אֲבִישָׁלוֹם n.pr.m. (my father is peace) Rehob.’s father-in-law 3rd son of Dvd
a.ae.bc	H0054	אֶבְיָתָר		אֶבְיָתָר n.pr.m. (the Great One is father (?)) a priest, son of Ahimelech
a.ae.bd		אבוגיל		אבוגיל v. אֲבִיגַיִל sub. אבה
a.af.aa	H0017	אֲבוֹי	root	אֲבוֹי interj. exclam. of pain, Oh!
a.ag.aa		אבח	root	אבח (torment, but dub.)
a.ag.ab	H0019	אִבְחָה		[אִבְחָה] n.f. cstr. Ez 21:20; as above, slaughter; but prob. error for טבחת (v. טבח)
a.ag.ac		אֲבַטִּיחִים		אֲבַטִּיחִים v. בטח
a.ag.ad		אָבִי		אָבִי v. בית
a.ag.ae		אֲבִי		אֲבִי v. אֲבִיָּהוּ sub. אבה
a.ag.af		אֲבִי הָעֶזְרִי		אֲבִי הָעֶזְרִי v. אֲבִיעֶזֶר sub. אבה
a.ag.ag		אֲבִיָּה		אֲבִיָּה v. אֲבִיָּהוּ sub. אבה
a.ag.ah		אֲבִיהַיִל		אֲבִיהַיִל v. אֲבִיחַיִל sub. אבה
a.ag.ai		אֶבְיוֹן		אֶבְיוֹן אֲבִיּוֹנָה v. אָבָה
a.ag.aj		אֲבִיָּם		אֲבִיָּם v. אֲבִיָּהוּ sub. אבה
a.ag.ak		אֶבְיָסָף		אֶבְיָסָף v. אֲבִיאָסָף sub. אבה
a.ah.aa	H0055	אָבַךְ	root	[אָבַךְ] vb. turn (?) Hithp. roll, roll up, as volume of smoke
a.ai.aa	H0056	אָבַל	root	אָבַל 39 vb. mourn Qal mourn, lament Hithp. mourn (mostly prose) Hiph. cause to mourn
a.ai.ab	H0060	אֵ֫בֶל		אֵ֫בֶל n.m. mourning
a.ai.ac		אֵבֶל מִצְרַיִם		אֵבֶל מִצְרַיִם v. אָבֵל מ׳ sub. אבל
a.ai.ad	H0057	אָבֵל		אָבֵל adj. mourning—elsewhere as subst. mourner
a.aj.aa		אבל	root	אבל (perh.Arabic grow green, cf. Syriac grass Lag BN45 prop. Arabic withstand, hence אָבֵל as withstanding scorching sun (protected by trees, springs, etc.), hence also (Lag) Arabic camel).
a.aj.ab	H0059	אָבֵל		אָבֵל n.f. meadow (?) n.pr.loc. city in N. Isr.; = א׳ מַיִם אָבֵל הַשִּׁטִּים n.pr.loc. (= acacia-meadow) in lowlands of Moab אָבֵל כְּרָמִים n.pr.loc. (= vineyard-meadow) in Ammon אָבֵל מְחוֹלָה n.pr.loc. (= dance-meadow) Elisha’s birthplace אָבֵל מִצְרַיִם n.pr.loc. (= meadow of Egypt, i.e. fertile as Egypt ?) E. of Jordan
a.ak.aa	H0061	אֲבָל	root	אֲבָל adv. in older Heb. with an assertive force, verily, of a truth in late Heb. as a decided adversative, howbeit, but
a.al.aa		אבל	root	אבל (cf. Ar. Arabic able to manage camels, fr. Arabic, coll., Sab. אבל camel DHM ZMG 1883, 329).
a.al.ab	H0179	אוֹבִיל		אוֹבִיל n.pr.m. (? camel-driver) overseer of David’s camels 1 Ch 27:30.
a.al.ac		אֻבָל		אֻבָל אוּבָל v. יבל
a.am.aa	H0068	אֶ֫בֶן	root	אֶ֫בֶן 274 n.f. stone in natural state stone, as material precious stone, gen. with modifying word stone containing metal, = ore a weight, as orig. stone plummet objects like stone in sim. (mostly poet.) of sinking in water In topogr. terms
a.am.ab	H0070	אֹבֶן		[אֹבֶן] n.[m.] wheel, disc. potter’s wheel prob. bearing-stool, midwife’s stool
a.am.ac		אבנה		אבנה v. אֲמָנָה
a.am.ad		אַבְנֵט		אַבְנֵט v. בנט
a.am.ae		אַבְנֵר		אַבְנֵר v. אֲבִינֵר sub. אָבָה
a.an.aa	H0075	אָבַס	root	[אָבַס] vb. feed, fatten
a.an.ab	H0018	אֵבוּס		אֵבוּס n.m. crib (= feeding-trough)
a.an.ac	H3965	מַאֲבוּס		[מַאֲבוּס] n.[m.] granary (= place of fodder)
a.an.ad		אֲבַעְבֻּעֹת		אֲבַעְבֻּעֹת v. בוע
a.ao.aa		אבץ	root	אבץ (meaning unknown).
a.ao.ab	H0077	אֶ֫בֶץ		[אֶ֫בֶץ] n.pr.loc. city in Issachar אָ֑בֶץ Jos 19:20.
a.ao.ac	H0078	אִבְצָן		אִבְצָן n.pr.m. judge of Isr.
a.ap.aa		אבק	root	אבק (Ar. Arabic run away (cf. Lag BN51)).
a.ap.ab	H0080	אָבָק		אָבָק n.m. dust
a.ap.ac	H0081	אֲבָקָה		[אֲבָקָה or אַבְקָה] n.f. prob. coll. Ct 3:6 powders of merchant = scent-powders
a.ap.ad	H0079	אָבַק		[אָבַק] vb. denom. Niph. wrestle Gn 32:25
a.aq.aa		אבר	root	אבר (cf. As. abâru, be firm, strong DlW)
a.aq.ab	H0083	אֵ֫בֶר		אֵ֫בֶר n.[m.] pinions (fr. strength, poet. & fig., pl. in sense)
a.aq.ac	H0084	אֶבְרָה		אֶבְרָה n.f. pinion (nom. unit., poet.)
a.aq.ad	H0082	אָבַר		[אָבַר] vb. denom. Hiph. fly (= move pinions); of hawk יַאֲבֶר־נֵץ Jb 39:28.
a.aq.ae	H0046	אָבִיר		[אָבִיר] adj. strong; alw. = subst. the Strong, old name of God (poet.)
a.aq.af	H0047	אָבִּיר		אָבִּיר adj. mighty, valiant
a.aq.ag		אָבְרָהָם		אָבְרָהָם v. אָבְרָם sub. אבה
a.ar.aa	H0086	אַבְרֵךְ	root	אַבְרֵךְ proclaimed before Joseph (mng. dub.)
a.ar.ab		אַבְרָם		אַבְרָם אבְשַׁי v. אֲבִירָם v. אֲבִישַׁי sub. אבה
a.ar.ac		אַבְשָׁלוֹם		אַבְשָׁלוֹם אַבְשָׁלֹם v. אֲבִישָׁלוֹם sub. אבה
a.as.aa		אגא	root	אגא (cf. Ar. Arabic, flee Frey).
a.as.ab	H0089	אָגֵא		אָגֵא n.pr.m. (fugitive?) father of a hero of David 2 S 23:11 (ins. also 1 Ch 11:13 Dr Sm).
a.as.ac	H0090	אֲגָג		אֲגָג, (אֲגַג Nu 24:7) n.pr.m. (violent?) king of Amalek
a.as.ad	H0091	אֲגָגִי		אֲגָגִי adj.gent. of Haman (= Amalekite? so Jew. trad. & cf. Jos. Ant. xi.6.5)
a.at.aa		אגד	root	אגד (bind, so Talm. אָגַד, Aram. אֲגַד).
a.at.ab	H0092	אֲגֻדָּה		אֲגֻדָּה n.f. band pl. cstr. bands, thongs (fastening ox-bow) metaph. of fetters of slavery bunch of hyssop abs. band of men vault of the heavens (as fitted together, constructed)
a.at.ac	H0093	אֱגוֹז		אֱגוֹז n.[m.] nuts (coll.)
a.au.aa		אגל	root	אגל (Hoffm Hiob. 86 compo Ar. Arabic restrict, Eth. Ethiopic a certain one (name withheld), etc.)
a.au.ab	H0096	אֵ֫גֶל		אֵ֫גֶל n.[m.] usually trans. drop
a.au.ac	H0097	אֶגְלַ֫יִם		אֶגְלַ֫יִם n.pr.loc. town in Moab
a.av.aa		אגם	root	אגם (troubled, sad, As. agâmu DlW cf. Ar. Arabic loathe; also Arabic marshy jungle v. עגם).
a.av.ab	H0098	אֲגַם		אֲגַם n.[m.] troubled pool troubled or muddy (gloomy) pools or marshes any pool, pond swamp-reed, rush
a.av.ac	H0099	אָגֵם		[אָגֵם] adj. sad (cf. Mish.) אַגְמֵי־נֶפֶשׁ Is 19:10.
a.av.ad	H0100	אַגְמֹן		אַגְמֹן, אַגְמוֹן n.[m.] rush, bulrush used as cord or line metaph. of the lowly, insignif.
a.aw.aa		אגן	root	אגן (prob. circular, round, cf. Ar. Arabic ball of cheek & v. Talm. אוֹגֶן curved rim of a vessel).
a.aw.ab	H0101	אַגָּן		[אַגָּן] n.[m.] bowl, basin basins used in ritual sim. of curves of body metaph. of family of Eliakim
a.ax.aa		אגף	root	אגף (As. stem of agappu, wing, cf. DlW).
a.ax.ab	H0102	אֲגַף		[אֲגַף] n.[m.] band, army (loan-word, orig. wing of army)
a.ay.aa	H0103	אָגַר	root	[אָגַר] vb. gather (food)
